,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
17098,17099,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Social Media;How-to videos;Interactive tutorial;AI,API document(s) and/or SDK document(s),13,13,"Developer, full-stack",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Research companies that have emailed me,Out-of-the-box is ready to go with little need for customization,,Spain,EUR European Euro,75000.0,Java;JavaScript;Rust;TypeScript,Go;JavaScript;Rust;TypeScript,JavaScript;Rust;TypeScript,Clickhouse;MongoDB;PostgreSQL;Redis;SQLite,Clickhouse;MongoDB;PostgreSQL;Redis;SQLite,Clickhouse;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,NestJS;Next.js;Node.js;React,Next.js;Node.js;React,Next.js;Node.js;React,,,,React Native;Tauri,SwiftUI;Tauri,Tauri,Bun;Docker;Kubernetes;Vite,Bun;Docker;Kubernetes;Vite,Bun;Docker;Kubernetes;Vite,Visual Studio Code;WebStorm;Xcode,WebStorm;Xcode,WebStorm;Xcode,MacOS,MacOS,Confluence,Confluence,Confluence,Slack,Slack,Slack,ChatGPT;Codeium,ChatGPT;Codeium,ChatGPT;Codeium,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not at all",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",,,,,,,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,80555.0,
47046,47047,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Books;Written Tutorials;Stack Overflow;Written-based Online Courses,API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine,37,27,"Developer, embedded applications or devices",I don’t know,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Quality support system;Connected to an open source project,Poland,PLN	Polish zloty,,Assembly;C;C++;Java;Kotlin;Python,C;C++;Java,C;C++;Java,,,,,,,,,,Arduino;CMake;GNU GCC;LLVM's Clang;Ninja;PlatformIO;Rasberry Pi,Arduino;CMake;GNU GCC;LLVM's Clang;Ninja;PlatformIO;Rasberry Pi,Arduino;CMake;GNU GCC;LLVM's Clang;Ninja;PlatformIO;Rasberry Pi,OpenGL,Flutter;OpenGL,OpenGL,Docker;Gradle;Ninja;Pip,Docker;Gradle;Ninja;Unreal Engine,Docker;Gradle;Ninja,Android Studio;Nano;Visual Studio Code,Android Studio;Nano;Visual Studio Code,Android Studio;Nano;Visual Studio Code,Fedora,Fedora,Confluence;Doxygen;Jira;Wikis,Confluence;Doxygen;Jira;Wikis,Confluence;Doxygen;Jira;Wikis,Google Chat;Microsoft Teams;Signal;Slack,Google Chat;Microsoft Teams;Signal;Slack,Google Chat;Microsoft Teams;Signal;Slack,,,,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, definitely","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
37533,37534,I am a developer by profession,18-24 years old,"Student, full-time",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;Coding sessions (live or recorded);Video-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;AI-powered search/dev tool (free),3,Less than 1 year,Student,,,,,,Kenya,,,Bash/Shell (all shells);C++;Go;Java;Kotlin;Lua;PowerShell;Python;Rust;TypeScript,Kotlin;Python;Rust;Swift;TypeScript,Kotlin;Python;Rust;TypeScript,SQLite,,,Google Cloud,Google Cloud,Google Cloud,Flask;NestJS;Svelte,Svelte;Vue.js,Svelte,,,,Electron;Qt;Ruff;Tauri,Ruff,Ruff,Bun;Make;npm;Pacman;Pip;Vite,Vite,Vite,Neovim,Neovim,Neovim,Arch;Windows,Arch,,,,Discord;Whatsapp,Discord;Whatsapp,Discord;Whatsapp,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Very favorable,Increase productivity;Speed up learning,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Search for answers,Learning about a codebase,,Documenting code;Search for answers,,Writing code,,Debugging and getting help,No,Circulating misinformation or disinformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
22569,22570,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s),7,4,Other (please specify):,10 to 19 employees,I have a great deal of influence,Start a free trial,Out-of-the-box is ready to go with little need for customization,Customization;Quality support system;Frequent updates to features,Italy,EUR European Euro,50000.0,C;Go;Python;Rust,C;Rust,C;Rust,PostgreSQL,PostgreSQL;TiDB,PostgreSQL,Amazon Web Services (AWS),,,,,,CMake;Cargo;LLVM's Clang;Rasberry Pi,Cargo;LLVM's Clang;Rasberry Pi,Cargo;LLVM's Clang;Rasberry Pi,Apache Kafka,Apache Kafka,Apache Kafka,Docker;Pacman,Pacman,Pacman,Visual Studio Code,Neovim,,Arch,Arch,,,,Google Meet;Slack;Telegram,Google Meet,Google Meet,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,8.0,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,Less than 15 minutes a day,,Automated testing;AI-assisted technology tool(s);Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,53703.0,8.0
35879,35880,I am a developer by profession,18-24 years old,"Student, full-time",,Apples,,Some college/university study without earning a degree,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Stack Overflow;Social Media;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,5,1,"Developer, front-end",,,,,,Chile,,,Assembly;Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;Python;SQL,C++;TypeScript,,PostgreSQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS),AngularJS;React;Ruby on Rails;Vue.js,React,React,CMake;Meson,,,Pandas;React Native;Scikit-Learn,Pandas,Pandas,APT;Docker;Make;npm;Pip,Docker;Nix,Docker,Neovim;Vim,Neovim;Vim,Neovim;Vim,Ubuntu,Ubuntu,GitHub Discussions;Obsidian,Obsidian,Obsidian,Discord;Google Meet;Telegram;Whatsapp,Telegram;Whatsapp,Telegram;Whatsapp,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Very favorable,Increase productivity;Speed up learning;Other (please specify):,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Debugging and getting help;Search for answers,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Writing code;Debugging and getting help;Search for answers,,,,,Yes,,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
11796,11797,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Online Courses or Certification",,,9,2,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,Customization;Quality support system;Reputation for quality and excellence;Other:,Palestine,ILS	Israeli new shekel,,Go;HTML/CSS;JavaScript;PHP;SQL,Go;HTML/CSS;JavaScript;SQL;TypeScript,Go;HTML/CSS;JavaScript;SQL,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,Digital Ocean,Digital Ocean,Digital Ocean,Express;Node.js;React,Express;Node.js;React,Express;Node.js;React,,,,,,,npm;Webpack,npm;Webpack,npm;Webpack,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,Windows,,,,Whatsapp,Whatsapp,Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow,A few times per month or weekly,Yes,A few times per month or weekly,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
57575,57576,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;AI,Traditional public search engine,23,19,Other (please specify):,500 to 999 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence;Frequent updates to features,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,80000.0,Go;HTML/CSS;Python;SQL,Go;HTML/CSS;Python;SQL,Go;HTML/CSS;Python;SQL,Snowflake,Snowflake,Snowflake,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),,,,,,,,,,Homebrew;Pip;Terraform,Ansible;Docker;Homebrew;Pip;Terraform,Homebrew;Pip;Terraform,DataGrip;Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,MacOS,Confluence;Jira;Trello,Confluence;Jira;Microsoft Planner;Trello,Confluence;Jira;Trello,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Microsoft Teams,Discord;Microsoft Teams,Bing AI;ChatGPT,Amazon Q;Bing AI;ChatGPT;Google Gemini,Bing AI;ChatGPT,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat",Yes,Favorable,Increase productivity;Speed up learning,Somewhat trust,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code,Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,,Learning about a codebase;Writing code;Documenting code,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
52974,52975,I am a developer by profession,25-34 years old,"Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine,6,2,"Developer, back-end",20 to 99 employees,I have a great deal of influence,,,APIs;Customization;Reputation for quality and excellence;Connected to an open source project,Germany,EUR European Euro,80000.0,Bash/Shell (all shells);Java;Kotlin;SQL,Java;Kotlin;SQL,Java;Kotlin;SQL,Dynamodb;PostgreSQL,Dynamodb;PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Heroku,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot,Spring Boot,Spring Boot,,,,Spring Framework,Spring Framework,Spring Framework,Docker;Gradle;Podman,Docker;Gradle;Podman,Docker;Gradle;Podman,IntelliJ IDEA,IntelliJ IDEA,IntelliJ IDEA,Android;Fedora,Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Markdown File,Confluence;Jira;Markdown File,Confluence;Jira;Markdown File,Microsoft Teams,Microsoft Teams,Microsoft Teams,Amazon Q,Amazon Q,Amazon Q,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat",Yes,Indifferent,Increase productivity,Highly distrust,Very poor at handling complex tasks,Writing code,Learning about a codebase;Documenting code;Testing code;Deployment and monitoring;Predictive analytics;Search for answers,Project planning;Debugging and getting help;Committing and reviewing code;Generating content or synthetic data,,Writing code,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Don’t trust the output or answers;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,3.0,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,1-2 times a week,1-2 times a week,3-5 times a week,Over 120 minutes a day,30-60 minutes a day,Amount of technical debt;Maintaining security of code being produced;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Energy,20.0,5.0,10.0,15.0,5.0,25.0,15.0,0.0,5.0,Too long,Easy,,7.0
63899,63900,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Friend or family member","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Interactive tutorial;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,11,4,"Developer, full-stack",I don’t know,I have little or no influence,Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me;Other (please specify):,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,India,INR	Indian rupee,2100000.0,Assembly;Bash/Shell (all shells);C++;Go;HTML/CSS;Python;SQL,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,Bash/Shell (all shells);C++;HTML/CSS;Python;SQL,Databricks SQL;Elasticsearch;Microsoft SQL Server;MySQL;Neo4J;PostgreSQL;SQLite,Elasticsearch;Neo4J;PostgreSQL;SQLite,Elasticsearch;Neo4J;PostgreSQL;SQLite,Databricks;Microsoft Azure,"Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Linode, now Akamai;Microsoft Azure;Vercel",Microsoft Azure,Django;Flask;Next.js;Node.js;React,Deno;Express;FastAPI;Next.js;Node.js;React;Solid.js,Next.js;Node.js;React,CMake;GNU GCC;LLVM's Clang;MSVC,LLVM's Clang;MSVC,LLVM's Clang;MSVC,Flutter;Hugging Face Transformers;NumPy;Pandas,CUDA;DirectX;NumPy;Pandas;React Native;SwiftUI;Tauri,NumPy;Pandas,Chocolatey;Docker;Homebrew;Make;MSBuild;npm;Pacman;Pip;pnpm;Unreal Engine;Visual Studio Solution;Webpack;Yarn,Docker;Homebrew;Kubernetes;MSBuild;npm;Pacman;Pip;pnpm;Podman;Unreal Engine;Visual Studio Solution;Vite,Docker;Homebrew;MSBuild;npm;Pacman;Pip;pnpm;Unreal Engine;Visual Studio Solution,Android Studio;BBEdit;Goland;Kate;Neovim;Notepad++;Rider;Sublime Text;Visual Studio;Visual Studio Code;WebStorm;Xcode,Android Studio;CLion;Fleet;Kate;Notepad++;Rider;Visual Studio;Visual Studio Code;WebStorm;Xcode,Android Studio;Kate;Notepad++;Rider;Visual Studio;Visual Studio Code;WebStorm;Xcode,Android;Arch;Debian;iOS;iPadOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;Debian;iOS;iPadOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops;Confluence;Jira;Markdown File,Azure Devops;Confluence;Jira;Markdown File;Trello;YouTrack,Azure Devops;Confluence;Jira;Markdown File,Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Microsoft Teams;Signal;Telegram;Whatsapp;Zoom,Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,ChatGPT;Google Gemini;OpenAI Codex;Perplexity AI;Tabnine;You.com,Google Gemini;Perplexity AI,Google Gemini;Perplexity AI,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Search for answers,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,Writing code,Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,4.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components;Reliability of tools/systems used in work,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,90.0,35.0,90.0,75.0,95.0,95.0,50.0,50.0,75.0,Too long,Easy,,9.0
26496,26497,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,Apples,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,12,4,"Developer, full-stack",2 to 9 employees,I have some influence,Start a free trial;Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Quality support system;Reputation for quality and excellence,Zimbabwe,USD	United States dollar,16000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL;SQLite,Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;SQLite,Heroku,Heroku,Heroku,Angular;CodeIgniter;Express;jQuery;Laravel;Node.js;React;WordPress,Angular;Deno;Express;jQuery;Laravel;Node.js;React;Svelte;Vue.js;WordPress,Angular;Express;jQuery;Laravel;Node.js;React;WordPress,,,,Ionic;React Native,Ionic,Ionic,APT;Composer;Docker;Gradle;npm;Pacman;Webpack;Yarn,APT;Composer;Docker;Gradle;npm;Webpack,APT;Composer;Docker;Gradle;npm;Webpack,Android Studio;Kate;Nano;PhpStorm;Visual Studio Code;WebStorm,Android Studio;Nano;PhpStorm;Visual Studio Code;WebStorm,Android Studio;Nano;PhpStorm;Visual Studio Code;WebStorm,Android;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Clickup;Jira;Notion,Notion,Notion,Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;Perplexity AI,Bing AI;ChatGPT;Claude;GitHub Copilot;Meta AI,Bing AI;ChatGPT;Claude;GitHub Copilot;Meta AI,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency;Make workload more manageable,Somewhat distrust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Generating content or synthetic data,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers,,Writing code;Documenting code;Generating content or synthetic data,,,,,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,10.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Amount of technical debt;Showing my contributions;Maintaining security of code being produced;Reliability of tools/systems used in work,AI-assisted technology tool(s),Cloud only (single or multi-cloud),Traditional public search engine,Media & Advertising Services,4.0,8.0,10.0,20.0,20.0,15.0,18.0,5.0,0.0,Too long,Easy,16000.0,6.0
